#{"t_start": 1650576003.079192, "env_id": "NewAnt-v2"}
r,l,t
864.355302,1000,206.859111
260.308213,341,413.953537
48.309382,41,611.068888
658.689108,1000,817.632155
54.860913,47,1032.702674
115.198356,56,1226.747789
62.875601,34,1420.121617
814.727123,1000,1626.794387
783.424398,551,1836.510103
136.160726,75,2046.551875
1284.151974,1000,2255.709135
1524.899148,1000,2470.063598
796.697985,487,2678.733199
156.284946,114,2877.680163
1445.264519,840,3092.387372
1424.24073,1000,3304.563638
1230.868584,663,3515.002891
130.603534,60,3714.904287
1998.150447,1000,3920.397128
1966.021545,1000,4147.023358
111.107192,55,4349.200259
1427.607736,636,4550.223115
1056.306204,472,4755.862832
2339.74191,1000,4965.304479
486.965573,167,5180.862169
1024.898909,1000,5387.48564
2502.507058,1000,5602.269381
398.263544,179,5806.307954
780.43523,298,6014.933904
1661.605966,1000,6221.634489
2951.982392,1000,6438.145545
1384.054313,1000,6653.944597
3193.377294,1000,6867.06118
3718.816214,1000,7090.377987
1921.541344,1000,7302.785713
3592.600127,1000,7515.1265
3803.674709,1000,7727.048862
2962.82106,776,7938.756955
1726.491109,1000,8165.235559
4030.99586,1000,8379.832081
4134.971515,1000,8594.180815
3929.811114,1000,8809.121634
4170.198003,1000,9024.65184
4297.097552,1000,9251.175358
4441.419909,1000,9465.882837
3594.375811,791,9678.425043
4489.421563,1000,9891.695085
2644.199579,638,10102.834362
4564.678778,1000,10326.83864
4323.865716,1000,10542.274415
459,8,53.551767
-54.78697,37,53.638364
-56.468297,29,53.705899
-92.811089,82,53.899426
-1025.507403,1000,67.28339
-23.960845,18,67.326692
-24.785991,20,67.373866
-40.638024,39,67.465618
-209.030249,118,67.741428
-24.640319,14,67.77424
-40.463752,43,67.874759
-222.08572,181,68.299041
-983.699528,1000,81.897338
-59.221575,61,82.038439
-11.346798,52,82.159039
-18.830235,26,82.21895
-29.950891,33,82.294892
-21.638802,27,82.35811
-88.342975,81,82.54511
-35.811543,29,82.612248
-72.698935,102,82.849555
-24.157183,44,82.952922
-1012.848199,1000,85.334706
-18.722227,25,85.392888
-35.44605,34,85.471402
-82.126969,47,85.579966
-142.279892,55,85.708531
-58.100427,68,85.866546
-49.927212,108,97.125866
-202.989957,204,97.598433
-38.10545,36,97.682611
-21.769194,38,97.771664
-55.069469,49,97.885833
-68.203021,36,97.969995
-47.921973,34,98.050096
-67.603058,52,98.172569
-3.347869,15,98.20764
-10.250237,20,98.254554
-44.964751,43,98.355424
-101.220115,97,98.582898
-25.521859,30,98.653624
-41.007233,42,98.753784
-54.548,75,98.930893
-83.016679,73,99.103165
-19.239856,14,99.136384
-24.179252,29,99.203357
-18.04054,30,99.273673
-6.319779,15,99.308887
-21.835273,14,99.341585
-13.567578,13,99.371641
-946.363922,1000,101.719386
-36.424821,40,113.059872
-58.683141,51,113.178336
-15.229556,27,113.24069
-82.393371,81,113.431044
-13.118854,33,113.508569
-944.394852,1000,115.877683
-46.356004,101,116.115272
-19.784086,14,116.148064
-7.699823,13,116.178062
-53.495479,95,116.39888
-85.16622,46,116.506568
-15.194054,14,116.53935
-227.523139,222,117.054936
-22.427386,56,117.185347
8.090895,18,117.227246
-36.136531,36,117.311747
-71.645399,59,117.449129
-52.953611,56,117.580026
-86.979799,59,117.717785
-48.07243,56,128.880332
-68.23888,87,129.084588
1.877193,13,129.115582
-16.777116,18,129.157645
-31.963712,67,129.312632
-68.303901,82,129.50476
-28.028695,48,129.617777
-24.544951,40,129.71168
-36.7008,25,129.770585
-76.188591,80,129.958802
-14.465199,16,129.996512
-44.035202,35,130.078964
-12.885059,19,130.123871
0.901243,11,130.149919
-9.607514,16,130.187614
-2.204639,33,130.266443
-8.383557,10,130.289978
-34.69015,27,130.353631
-53.146034,67,130.512152
-23.67121,28,130.578264
-32.249374,21,130.627991
-32.090305,26,130.688926
-19.016855,19,130.733501
-86.465321,89,130.941925
-921.850377,1000,133.297623
-129.155536,166,144.866396
-89.679317,92,145.081808
-24.345348,20,145.128805
-33.399422,28,145.194793
-78.407739,72,145.363175
-83.250513,87,145.567542
-19.453335,33,145.645114
-52.836382,41,145.741486
-134.669869,142,146.072977
-68.057178,63,146.219639
-35.295723,34,146.298112
-24.046844,17,146.338403
-13.43288,17,146.377609
-22.524936,38,146.465404
-71.50007,37,146.551658
-12.950606,44,146.654288
-33.624824,54,146.78134
-53.412293,21,146.830722
