#{"t_start": 1650870550.3950574, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-79.463752,68,0.90363
-25.858208,26,0.968659
-107.553317,74,1.149999
-16.032325,14,1.184573
-176.485118,225,1.742074
-42.243592,36,1.831321
-184.518813,118,2.124879
-82.061465,121,2.42773
-1022.483367,1000,4.933311
-88.789815,69,5.10518
-144.784932,84,5.314938
-105.723755,114,5.602341
-25.102059,34,5.689505
-125.102103,129,22.076508
-13.577231,12,22.108106
-41.446036,84,22.321063
-99.765012,63,22.480076
-1092.890397,1000,24.984332
-14.409613,10,25.009669
-1111.856333,1000,43.227374
-59.925635,53,43.363753
-89.562602,124,43.676356
-31.20598,32,43.759474
-20.66349,24,43.819494
-28.110103,39,43.91846
-32.331674,29,43.992533
-218.979094,196,44.483161
-201.854485,224,45.04593
-46.016811,70,45.221881
-55.655817,50,45.34897
-110.166387,115,45.63778
-16.8677,15,45.676002
-64.432343,49,45.800097
-40.972943,43,45.90802
-56.579332,45,46.02154
-38.505374,22,46.076915
-64.283345,57,46.221416
-15.926623,47,46.339321
-138.897711,134,46.675829
22.229049,62,46.832676
-6.994784,10,46.858117
-27.147927,26,46.924324
-25.083759,42,47.030806
-51.701136,32,47.111804
-75.042404,78,47.308159
-47.78438,46,47.423577
-13.563356,30,47.499591
-967.231363,1000,65.741953
-8.282315,10,65.768574
-164.541142,178,66.213358
-36.982767,26,66.278134
-82.482384,76,66.468057
-142.458988,167,66.886374
-42.975084,66,67.051598
-219.639125,204,67.560066
-93.754501,61,67.713652
-58.286176,72,67.890941
-38.28559,46,68.005882
-8.870657,18,68.050766
-101.074634,96,68.291898
-159.693995,124,68.601429
-196.200917,125,84.591654
-74.605539,107,84.862515
-16.952038,13,84.895609
-15.260384,12,84.92602
-51.405344,35,85.015062
-115.255106,114,85.3014
-30.269259,53,85.436113
-31.737922,36,85.527891
-24.508535,54,85.665972
-85.792676,94,85.905137
-63.425305,85,86.117906
-14.344219,21,86.170847
-84.283054,53,86.304842
-23.81931,23,86.362741
-1022.106415,1000,88.890355
-43.825724,56,89.030945
-45.940632,46,89.145425
-37.817614,29,89.218432
-101.777567,67,89.385303
-12.339634,41,89.487661
-102.489107,73,105.368335
-16.098675,34,105.454252
-36.285402,46,105.569018
-97.170337,100,105.818759
-987.004941,1000,108.349602
-5.321133,37,108.442682
-54.184219,68,108.61514
-16.285201,61,108.77032
-28.987196,24,108.831143
-6.70998,11,108.859452
-46.011622,28,108.930488
-71.497789,77,109.123381
-118.270959,82,109.329033
-6.391922,48,109.449091
-48.332463,30,109.524169
-66.680081,57,109.666787
-60.28663,42,109.770365
-143.515098,91,109.994636
-65.52307,70,110.16857
-37.089091,100,110.419064
-149.629094,90,126.329691
-69.596056,57,126.470811
-45.981853,41,126.573521
-79.822761,117,128.674503
-117.210375,125,128.986472
-914.906519,1000,131.506294
-7.021239,33,131.588785
-16.605368,19,131.636957
-22.439653,26,131.702725
-22.051287,29,131.775959
-25.664583,20,131.826485
-176.289152,116,132.115226
-939.004868,1000,150.295236
-17.707895,21,150.348068
-49.643729,53,150.480074
-23.050921,34,150.566489
-58.904323,40,150.667967
-461.865506,381,151.624864
-1009.949244,1000,169.83448
-31.654184,24,169.896108
-20.098859,20,169.946526
-259.275012,264,170.606799
-39.117378,22,170.660688
-111.000596,143,171.016691
-106.832752,84,171.226291
-112.430983,98,171.472032
-941.7592,1000,174.010049
20.186625,33,174.092859
-939.124784,1000,192.435833
-921.741202,1000,194.940636
-20.857749,19,194.98917
-90.384564,55,195.12631
-79.695692,56,195.264456
-215.681499,154,195.64481
-17.81142,10,195.669926
-98.987495,124,212.196099
-148.817899,157,212.590389
-6.992157,38,212.686354
-110.206209,131,213.015823
-8.380751,18,213.060837
-7.572826,29,213.133751
-46.987451,31,213.2119
-906.73503,1000,215.720266
-13.14884,20,215.770966
-31.549148,21,215.82394
-905.041689,1000,234.356492
-37.40402,30,234.43243
-130.236564,130,234.75871
-144.139623,159,235.158876
-40.169746,45,235.271859
-869.511958,1000,237.779185
-88.556973,77,237.973453
-93.240034,81,238.176894
-887.707084,1000,281.582788
-53.631552,74,281.768309
-29.149803,58,281.912658
-42.188913,71,282.089231
-928.221613,1000,300.533483
-50.525705,104,300.792389
-46.155757,52,300.922727
-18.982798,33,301.005333
-35.415579,53,301.136767
-136.008015,138,301.480193
-50.546646,52,301.60879
-166.15738,171,302.029116
-50.29299,31,302.106284
-50.756343,50,302.230144
-11.301864,13,302.262835
-75.524861,72,302.442103
-17.970536,12,302.472306
-863.120003,1000,304.980561
-48.765551,47,305.097887
-20.209345,14,305.13268
-110.798366,105,321.252263
-56.689793,52,321.382613
-857.639308,1000,323.882439
-34.583719,24,323.942026
-768.252277,1000,342.268875
-42.004417,88,342.488412
-152.061981,245,343.105219
-44.116508,49,343.229494
-47.479413,48,343.350204
-5.937281,11,343.37826
-127.920953,154,343.762428
-42.797503,37,343.854336
-39.849644,76,344.044632
-13.706773,13,344.076944
-168.568636,181,344.526933
-134.051152,170,344.952478
-63.522959,95,345.190648
-18.513583,46,345.304992
-92.440141,74,345.488565
-104.11562,64,345.646235
-40.204673,23,345.703219
-36.720045,67,345.869297
-141.924165,100,346.118176
-127.314683,112,346.39901
-19.424657,106,346.664496
-43.494723,74,346.850674
-89.345278,102,347.104137
-179.11208,213,363.475144
-59.017027,56,363.613587
-292.422747,231,364.187855
-830.635224,1000,366.695841
-72.76958,123,367.001317
-12.381826,90,367.224949
-85.561364,54,367.35865
-180.094641,156,367.744034
-30.378088,42,367.8485
-175.606409,242,384.171191
-226.024488,186,384.632588
-855.224532,1000,387.120443
-104.793103,99,387.366995
