#{"t_start": 1650938243.5662057, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-47.384732,32,0.484421
-68.276626,65,0.64641
-83.296738,84,0.857849
-8.808992,23,0.915456
-168.355335,173,1.343964
-111.233264,91,1.570676
-267.260652,209,2.090088
-1140.449361,1000,4.5948
-39.960442,40,4.695582
-54.963016,36,4.786263
-102.648951,80,4.986094
-15.875297,10,5.011085
-256.29335,141,5.368582
-44.006004,25,5.432295
-37.126808,38,5.527841
-31.717163,54,21.862238
-38.656938,40,21.96256
-334.816453,268,22.629466
-71.673648,54,22.764225
-23.798734,26,22.829301
-126.731109,123,23.140258
-182.751016,229,23.719549
-130.939104,128,24.042687
-53.321551,27,24.11133
-1065.03251,1000,26.627125
-1079.919741,1000,45.00325
-13.984364,18,45.048961
-144.614245,123,45.356882
-34.624463,38,45.453005
-95.071088,63,45.612489
-13.918113,13,45.645285
-57.575486,55,45.7848
-13.562196,23,45.843532
-15.052899,14,45.879512
-14.320662,33,45.963901
-107.185396,81,46.169437
-12.317468,9,46.192719
-131.250096,120,46.494075
-16.706091,24,46.553939
-55.899645,52,46.685492
-175.038076,127,47.006359
-188.159102,137,47.348943
-12.567709,19,47.396307
-22.346489,69,47.568418
-92.738918,87,47.785798
-56.220757,52,63.720919
-165.494751,177,64.163239
-128.121014,72,64.343004
-1.794564,27,64.411039
-203.612917,149,64.783072
-14.492889,32,64.863289
-1055.946062,1000,67.395672
-101.068202,87,67.614224
-56.102106,52,67.744432
-16.032113,14,67.780037
-167.013999,109,68.053072
-31.667076,46,68.16929
-61.808509,59,68.318751
-66.925476,47,68.438535
-44.82112,59,68.588855
-52.348202,69,68.763703
-24.032243,18,68.80985
-59.103123,41,84.645504
-8.17543,30,84.721434
-90.119773,95,84.960627
-37.680035,79,85.159191
-55.134097,38,85.255274
-210.166892,161,85.661114
-121.781658,114,85.949702
-48.686519,41,86.052774
-56.358314,44,86.164463
-164.294903,189,86.640563
-19.026184,17,86.683486
-23.057649,35,86.770956
-1063.520052,1000,89.302103
-43.858151,51,89.430732
-13.490234,8,89.451148
-239.442429,176,105.282752
-92.478898,102,105.53883
-262.853991,245,106.150435
-23.198184,19,106.197699
-163.02358,170,106.620746
-23.825211,15,106.658216
-977.464687,1000,109.16638
-137.134179,102,109.420981
-91.997058,67,109.587593
-33.377372,38,109.682806
-51.590041,53,109.815427
-960.695276,1000,129.614374
-21.283185,21,129.667647
-972.623397,1000,132.189632
-22.90676,19,132.238403
-279.135764,191,132.719136
-51.081758,77,148.906967
-8.394701,21,148.960903
-62.820715,59,149.110758
-21.762684,14,149.146715
-56.519684,40,149.247983
-240.141463,148,149.620054
-117.36553,113,149.90977
-28.13111,20,149.961072
-69.139992,48,150.081382
-2.977404,17,150.124847
-29.941239,27,150.193311
-51.955312,66,150.359277
-56.14845,61,150.513362
-67.764182,54,150.64974
-36.460351,37,150.743339
-55.095292,61,150.896947
-138.104073,139,151.245898
-16.51618,24,151.306733
-75.983371,103,151.566262
-22.77323,28,151.637412
-19.631424,43,151.748126
-68.639004,84,151.960794
-13.427437,12,151.991042
-117.825725,151,152.37212
-18.187205,23,152.430332
-49.680635,39,152.528911
-101.486824,175,152.964429
-31.753967,32,153.045196
-236.810908,244,153.655501
-107.560678,196,169.865776
-295.274504,288,170.587164
-15.103112,56,170.727127
-935.239228,1000,173.25474
-947.911721,1000,191.701375
-205.174031,176,192.142684
-12.975171,22,192.198206
-32.267682,23,192.256679
-118.650849,78,192.453529
-69.18728,88,192.676979
-170.016126,161,193.079537
-17.387594,31,193.157236
-222.453284,132,193.487743
-95.113546,119,193.786371
-21.659629,32,193.866776
-894.562806,1000,212.081587
-109.4404,127,212.399917
-967.204454,1000,214.928929
-33.920258,47,215.047351
-48.326141,66,215.213235
-111.544527,166,215.62957
-19.21518,12,215.659823
-16.688651,20,215.70986
-914.753838,1000,234.521513
-32.827357,34,234.60723
-78.429607,121,234.910123
-62.367176,94,235.145104
-139.426653,149,235.517132
-30.749403,69,235.689489
-41.936203,40,235.789856
-880.704281,1000,254.100277
-6.410034,22,254.156744
-101.356476,50,254.281638
-46.400992,58,254.427605
-94.898558,144,254.790513
-11.179644,33,254.872943
-139.633452,154,283.822356
-10.188898,27,283.890226
-867.546641,1000,286.42242
-77.813366,58,286.569859
-903.61861,1000,304.874572
-27.539518,19,304.923179
-120.52767,173,305.357826
-9.259473,31,305.435082
-74.888244,100,305.686055
-68.258813,36,305.776484
-54.291197,58,305.92396
-7.3368,18,305.969614
-862.499997,1000,308.500997
-26.625233,27,308.568876
-153.177606,142,324.778585
-11.946771,30,324.854251
-837.967392,1000,327.37633
-36.733159,33,327.459345
-47.00629,40,327.559831
-840.00967,1000,345.988749
-30.78691,54,346.123309
-269.281301,247,346.739174
-141.010064,176,347.179533
-48.1774,32,347.260603
-15.987694,58,347.406265
-20.874778,50,347.532492
-106.787134,104,347.792486
-40.958547,49,347.916167
-26.316581,20,347.966634
-66.86167,57,348.109888
-17.214753,53,348.244421
-40.53217,44,348.355556
-12.240639,22,348.411361
-20.005586,16,348.451431
-36.142292,86,348.666411
-133.761523,135,349.004028
-49.025402,43,349.112952
-39.115498,41,349.215436
2.1619,25,349.278207
-71.133931,109,349.549008
-150.502819,141,349.902197
-79.300408,81,350.10463
-35.720687,66,350.268965
-347.905362,375,367.143023
-182.579824,197,367.634245
-70.142106,92,367.866516
9.143644,13,367.899173
-66.704319,87,368.117642
-51.267767,36,368.208382
-86.829977,64,368.369651
-39.13035,53,368.504967
-31.656282,50,368.631851
-57.782727,105,368.895707
-840.956827,1000,371.416747
-32.480243,44,371.527206
-82.207289,73,371.708559
-51.159963,53,387.815111
-6.99385,15,387.852915
-58.110672,103,388.109389
-8.907973,22,388.165024
-116.193172,102,388.419419
-149.501167,119,388.717949
-60.920784,160,389.117355
-58.585695,40,389.217547
-48.591694,76,389.40667
-43.272454,77,389.598614
-84.589966,73,389.77958
-22.507869,22,389.834913
-433.814111,468,391.002462
-23.892275,37,391.096321
-24.487926,49,391.219786
-31.959391,87,391.438992
-59.886323,77,391.633607
-5.392251,25,391.697412
-91.687394,69,391.873038
-158.586474,250,392.50712
-143.78448,123,392.818183
-146.843282,103,408.966982
-18.552592,33,409.049975
-9.712322,17,409.09238
-16.785313,14,409.12698
4.679519,15,409.164744
-159.564595,196,409.652928
-29.067729,63,409.81178
-23.304404,29,409.885011
-123.849015,152,410.265229
-12.519619,28,410.336677
-39.554914,32,412.061644
-10.683094,67,412.23082
-224.913739,190,412.708859
-63.850937,116,412.99939
-22.884021,22,413.055239
-21.867167,30,413.131112
-30.183883,118,413.428079
-196.692155,155,413.818134
-95.341536,86,414.035865
-47.412352,47,414.155507
-17.602522,22,414.210819
1.480764,19,414.258475
-834.534879,1000,432.72785
-33.113062,50,432.853153
-58.007666,155,433.24485
-61.587398,108,433.516943
-30.902888,34,433.602957
-25.13556,34,433.688489
-195.502782,222,434.248434
-58.88459,86,434.46631
-151.107313,142,434.822876
-101.880146,129,435.147986
-38.634746,23,435.205879
-67.252666,85,435.419807
-122.716284,123,435.729185
-159.587535,221,436.285063
-46.330008,41,436.390203
-44.803303,70,436.565494
-67.585586,73,452.775706
-26.692869,26,452.84198
-7.622921,68,453.015278
-118.614309,166,453.430493
-65.762335,49,453.552789
-32.955684,28,453.623582
-26.551769,35,453.711815
-192.015556,204,454.223512
-62.231488,75,454.410935
-28.721644,27,454.479334
-12.442186,52,454.61046
-131.455336,309,455.389254
0.831243,118,455.686204
-33.449255,62,455.841504
-816.264414,1000,474.207601
-2.221778,10,474.234068
-31.732815,50,474.361039
-97.658012,151,474.742077
-43.276039,26,474.807839
-220.256922,287,475.524928
-715.49597,1000,478.050492
5.353602,34,478.137099
-91.322653,84,478.34597
-13.564354,11,478.373886
-42.89908,54,478.509651
-26.629248,24,478.570563
-75.699274,67,478.739394
-191.078201,330,495.482865
-32.120952,20,495.534096
-64.04824,67,495.70347
-270.583297,271,496.386283
-70.241356,113,496.670119
-769.666968,1000,499.171847
-37.035269,67,499.339747
-14.427059,20,499.39023
-140.13523,226,515.980274
-740.911661,1000,518.504062
-6.90268,10,518.529843
-171.882778,200,519.036167
-90.892072,107,519.307934
-41.006029,54,519.444839
-59.735105,102,519.702814
-72.728017,74,519.890175
-300.512407,314,520.684666
-50.523926,109,520.960563
1.799947,50,521.087343
-36.143176,28,537.029204
-57.614953,66,537.195158
-167.590825,135,537.532952
-49.36822,149,537.908319
-15.740114,19,537.957374
-59.732952,136,538.297415
-55.95268,59,538.446856
-96.598856,68,538.61675
0.420746,17,538.660123
-13.558345,11,538.687989
-96.749308,174,539.123207
-662.657941,1000,568.948641
-118.182168,120,569.255692
-66.390012,73,569.436946
-105.337357,138,585.705833
