#{"t_start": 1650949706.181925, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
792.197405,1000,3.230223
796.901689,1000,5.991844
780.932193,1000,24.815744
780.509888,1000,27.590582
820.877735,1000,46.413119
806.074889,1000,49.189868
780.325947,1000,67.676905
782.529111,1000,70.456233
798.400962,1000,89.028926
794.567307,1000,91.791425
778.616449,1000,110.320299
787.878757,1000,113.08101
786.85323,1000,133.412044
792.30942,1000,136.173895
822.835497,1000,155.039777
794.917867,1000,157.75912
796.488859,1000,176.24902
795.747666,1000,178.973145
826.160999,1000,197.398062
791.40255,1000,200.108486
785.001094,1000,218.558619
791.902989,1000,221.291547
848.411739,1000,239.768558
783.045011,1000,242.488278
778.826963,1000,260.9304
841.456245,1000,289.847828
819.37971,1000,308.70575
829.80642,1000,311.417162
797.019013,1000,329.942435
797.372631,1000,332.676505
828.379536,1000,351.192234
810.628558,1000,353.927338
827.281868,1000,372.448515
805.050209,1000,375.162218
845.251657,1000,393.727893
857.676547,1000,396.446385
838.53134,1000,414.901057
820.257568,1000,419.353786
808.822469,1000,437.705994
816.642427,1000,440.447414
804.767584,1000,458.892004
854.80225,1000,461.632967
886.047421,1000,464.320804
816.596167,1000,482.711665
820.072631,1000,485.451701
852.012241,1000,503.788427
837.432247,1000,506.536533
884.703157,1000,525.038301
810.734026,1000,527.769076
827.873161,1000,546.019346
881.934849,1000,574.690529
869.057109,1000,593.087467
858.06294,1000,595.813997
813.175867,1000,614.091044
851.715353,1000,616.854444
874.35388,1000,635.262272
862.341887,1000,637.975941
813.328772,1000,656.342921
881.047439,1000,659.032328
859.060009,1000,677.217685
891.127819,1000,679.950207
861.033662,1000,698.39496
854.070208,1000,702.828011
883.061784,1000,721.229964
868.256263,1000,723.961926
858.067576,1000,742.252035
822.092414,1000,744.940203
945.032557,1000,763.206485
862.572897,1000,765.95623
821.774973,1000,784.283176
873.354981,1000,787.036248
892.084308,1000,805.464929
874.683148,1000,808.246453
878.283598,1000,826.543817
880.050491,1000,829.314073
893.821106,1000,872.317294
867.889733,1000,875.071566
876.535301,1000,893.502925
869.092912,1000,896.246266
867.369401,1000,914.391006
899.716802,1000,917.155165
822.854795,1000,935.57589
903.388778,1000,938.331074
897.970588,1000,956.837539
902.103608,1000,959.615982
885.652297,1000,962.32844
880.746606,1000,980.644371
919.829887,1000,984.996618
932.852359,1000,1003.302093
905.423636,1000,1005.97758
841.303976,1000,1024.429739
885.942525,1000,1027.176426
908.809729,1000,1045.450263
875.264188,1000,1048.227329
1095.763986,1000,1066.486225
884.364103,1000,1069.171126
884.002699,1000,1087.341569
894.25495,1000,1090.069033
891.465363,1000,1108.402952
992.483355,1000,1111.031126
923.215048,1000,1153.683847
895.465941,1000,1156.320335
983.26138,1000,1174.748025
908.299225,1000,1177.382142
908.810347,1000,1195.664916
1222.557293,1000,1198.347416
887.653673,1000,1216.526564
1064.161002,1000,1219.132373
1153.244071,1000,1237.314521
963.563309,1000,1240.060421
931.146243,1000,1258.413696
1007.69824,1000,1261.098359
915.759415,1000,1281.445317
951.178609,1000,1284.155574
903.126442,1000,1302.571179
1311.918485,1000,1305.169046
889.650496,1000,1323.522206
888.256774,1000,1326.197453
1081.821009,1000,1344.408109
982.022154,1000,1347.083641
904.039948,1000,1365.305532
1030.994644,1000,1367.988772
1346.160293,1000,1386.219942
882.212032,1000,1388.913906
914.569463,1000,1407.194006
896.304728,1000,1435.312472
892.606483,1000,1453.659435
803.943742,1000,1456.381698
1460.140689,1000,1459.049911
904.436746,1000,1477.345058
1141.256104,1000,1480.06994
1367.519983,1000,1498.263777
1443.655069,1000,1500.957818
809.743574,1000,1519.177012
890.407197,1000,1521.881068
908.334118,1000,1540.121986
893.225954,1000,1542.833297
1457.933952,1000,1562.783619
1081.943359,1000,1565.452546
943.959905,1000,1583.642564
936.813686,1000,1586.376197
978.922685,1000,1604.552039
1367.051797,1000,1607.17137
1018.790082,1000,1625.379442
999.966682,1000,1628.087533
817.230287,1000,1646.432219
824.565788,1000,1649.108253
942.069305,1000,1667.444577
923.064668,1000,1670.094672
1472.6951,1000,1688.434961
889.529593,1000,1715.765294
931.780771,1000,1734.396478
925.550837,1000,1737.041568
818.240183,1000,1755.54026
947.121036,1000,1758.184576
1015.252207,1000,1776.284329
1564.20272,1000,1778.890017
1053.978773,1000,1797.123832
960.730467,1000,1799.762929
1441.14537,1000,1818.026448
905.672454,1000,1820.824083
1241.987505,1000,1839.190464
900.073207,1000,1843.507027
1225.049185,1000,1861.734384
1017.747415,1000,1864.287561
934.286443,1000,1882.53384
1334.246991,1000,1885.221798
919.491988,1000,1903.580328
1380.729619,1000,1906.204693
1467.987686,1000,1924.458374
1294.73508,1000,1927.04661
1063.947946,1000,1929.608079
1432.89735,1000,1947.706044
1620.981987,1000,1950.281972
1014.325395,1000,1968.497792
912.006736,1000,1995.284924
1495.351719,1000,2013.68316
1634.044654,1000,2016.297221
919.688383,1000,2034.59636
942.317954,1000,2037.264184
916.553187,1000,2055.587832
1638.376467,1000,2058.267732
1295.16072,1000,2076.45364
923.641951,1000,2079.064469
1652.068895,1000,2097.213905
1340.223275,1000,2099.797982
916.458524,1000,2118.176331
1397.20179,1000,2122.489029
1078.184715,1000,2140.605425
1438.670843,1000,2143.202755
1523.054207,1000,2161.392153
1049.863157,1000,2164.02118
1530.001026,1000,2182.232671
1151.532923,1000,2184.825648
1448.576526,1000,2202.99313
1107.75661,1000,2205.559452
924.546089,1000,2223.784812
1215.662329,1000,2226.365845
921.163556,1000,2244.644341
935.604954,1000,2247.317364
864.211938,1000,2290.037619
914.384354,1000,2292.643971
1747.786849,1000,2310.874613
934.788735,1000,2313.528629
1603.407103,1000,2331.576395
1189.879574,1000,2334.102493
1611.889258,1000,2352.38949
1484.839682,1000,2354.972806
912.02595,1000,2373.165805
1742.943405,1000,2375.777069
1511.89847,1000,2393.9942
1803.549142,1000,2396.640894
1201.597529,1000,2416.746425
1614.914244,1000,2419.387277
1629.318993,1000,2421.929619
1459.599664,1000,2440.01262
1532.688883,1000,2442.580863
916.717288,1000,2460.834889
1493.832495,1000,2463.430783
1162.032659,1000,2481.490624
1826.784049,1000,2484.129717
976.232837,1000,2502.432895
970.323258,1000,2505.172832
875.057476,1000,2523.430091
961.305464,1000,2526.083671
1557.505779,1000,2568.774218
1282.129011,1000,2571.390169
1196.665106,1000,2589.69587
1586.158005,1000,2592.348398
1009.940186,1000,2610.623237
1001.23109,1000,2613.268579
1313.855506,1000,2631.375506
1503.145127,1000,2633.906853
1030.583195,1000,2652.133724
981.358947,1000,2654.863831
1822.33905,1000,2673.081911
1104.52659,1000,2675.626485
1175.337782,1000,2695.537405
1131.783392,1000,2698.047555
-4.943397,11,2698.075642
1588.802474,1000,2716.366597
1636.33355,1000,2719.00141
1171.265193,1000,2737.16651
1848.098785,1000,2739.71711
930.72313,1000,2757.97609
1221.640512,1000,2760.601324
1521.408916,1000,2778.850981
1238.30943,1000,2781.448328
1203.751376,1000,2799.697264
896.810255,1000,2802.439927
1701.637834,1000,2845.098592
1664.742298,1000,2847.724302
956.482143,1000,2866.070004
1722.998751,1000,2868.730645
1184.443063,1000,2886.902288
992.863906,1000,2889.559351
1040.083662,1000,2908.112981
1048.471514,1000,2910.807343
1866.610801,1000,2913.346618
1614.447375,1000,2931.430748
1006.531365,1000,2933.999055
1390.969353,1000,2952.243919
1217.627414,1000,2954.833616
1647.468608,1000,2974.566713
1643.554294,1000,2977.215631
1907.423754,1000,2995.664089
904.361333,1000,2998.345241
1001.642223,1000,3016.635206
1685.921756,1000,3019.195933
1018.112359,1000,3037.568126
969.509372,1000,3040.210341
1028.524982,1000,3058.612507
826.301931,1000,3061.266712
867.830937,1000,3079.619286
1719.390544,1000,3082.274204
832.76072,1000,3124.685026
1289.189581,1000,3127.27276
1201.134417,1000,3145.687225
1308.121927,1000,3148.207104
993.501466,1000,3166.539787
963.433074,1000,3169.241875
1087.75863,1000,3187.550743
898.461601,1000,3190.199166
1668.76592,1000,3208.585944
1039.820341,1000,3211.245893
1196.127333,1000,3229.570212
1955.172174,1000,3232.125591
964.598154,1000,3250.596938
1973.378011,1000,3254.885828
894.386183,1000,3273.063632
1339.148596,1000,3275.652225
1044.505734,1000,3293.885265
915.577658,1000,3296.559669
836.112176,1000,3314.787076
1040.336821,1000,3317.42257
1961.340621,1000,3335.552566
949.392656,1000,3338.163045
948.256506,1000,3356.477885
947.739557,1000,3359.084347
1024.478392,1000,3377.356293
841.529459,1000,3403.756909
1062.900024,1000,3406.371861
1351.676201,1000,3424.655709
1697.674568,1000,3427.239844
1055.655078,1000,3445.463614
1140.102564,1000,3448.044231
1027.954768,1000,3466.327363
1227.178179,1000,3468.927473
1838.959331,1000,3487.540742
1121.46238,1000,3490.221789
2048.815468,1000,3508.447327
779.676731,962,3510.899366
920.641009,1000,3529.121458
1091.022164,1000,3533.471974
1317.351284,1000,3551.806753
1023.069252,1000,3554.419043
2047.054267,1000,3572.773018
2028.109849,1000,3575.398031
970.043152,1000,3593.675069
1357.1096,1000,3596.228845
1421.241527,1000,3614.439906
1172.990141,1000,3617.050361
904.131103,1000,3635.453072
1033.965983,1000,3638.034043
1032.715747,1000,3656.343672
1961.455887,1000,3658.853369
1835.751576,1000,3700.761731
1824.681434,1000,3703.344644
838.660634,1000,3721.934245
1203.659864,1000,3724.500477
1186.061444,1000,3742.718368
1479.594381,1000,3745.362033
1338.243896,1000,3763.499235
1034.851495,1000,3766.102153
1011.246716,1000,3784.419657
2079.085828,1000,3786.966025
887.242737,1000,3805.328527
1751.312389,1000,3807.882312
789.489453,1000,3827.834054
1013.957293,1000,3830.400033
1439.880808,1000,3848.641919
1069.600373,1000,3851.337898
2083.007645,1000,3853.951116
1791.157513,1000,3872.146224
1831.037375,1000,3874.686925
1084.754988,1000,3893.028756
896.031103,1000,3895.668797
1869.788071,1000,3915.163604
1090.714032,1000,3917.768212
1030.287747,1000,3935.919483
989.332685,1000,3938.575405
1006.776529,1000,3981.180152
2127.193943,1000,3983.736995
1425.318875,1000,4001.918235
829.296841,1000,4004.476559
1876.931357,1000,4022.730366
1764.017037,1000,4025.333815
1001.174326,1000,4043.600312
1290.223364,1000,4046.151159
2067.496478,1000,4064.338742
181.782829,257,4064.992912
1044.731758,1000,4067.584074
1486.350242,1000,4085.876164
876.727434,1000,4088.46435
1825.276451,1000,4108.389108
1843.569526,1000,4110.928067
1847.730177,1000,4129.395177
1845.690493,1000,4131.941578
1088.998725,1000,4150.518
1763.320942,1000,4153.05865
2131.732662,1000,4171.25278
1366.098176,1000,4173.775325
1413.250873,1000,4192.140135
2118.550834,1000,4194.655901
2099.187544,1000,4212.811185
2165.408914,1000,4215.362973
895.985637,1000,4258.662772
819.202485,1000,4261.184449
1126.426659,1000,4279.561184
1063.121593,1000,4282.180241
926.741061,1000,4300.514952
944.594604,1000,4303.085257
1233.61178,1000,4321.390632
2174.545226,1000,4323.933766
1406.352247,1000,4342.705742
1212.214708,1000,4345.262897
911.159512,1000,4363.595816
925.832333,1000,4366.194518
1550.599564,1000,4384.637801
1105.145167,1000,4388.896961
898.099675,1000,4407.400724
2168.411132,1000,4409.955352
1438.016999,1000,4428.193743
995.40649,1000,4430.831355
1799.763077,1000,4449.109008
1820.204564,1000,4451.644743
1451.318616,1000,4454.183554
1853.7255,1000,4472.421337
1863.210228,1000,4474.920461
1873.75201,1000,4493.08633
943.749003,1000,4495.676956
2228.236036,1000,4538.299679
909.006212,1000,4540.908359
1481.399282,1000,4559.144768
1869.276183,1000,4561.662392
1371.293317,1000,4579.881862
1465.744019,1000,4582.509972
1877.844269,1000,4600.846155
2242.6635,1000,4603.409895
1888.1744,1000,4621.618411
2230.799326,1000,4624.155324
1439.039774,1000,4642.47462
1281.284937,1000,4644.992335
2213.648039,1000,4663.170592
1554.971439,1000,4667.434001
1839.85564,1000,4685.734324
1910.243605,1000,4688.341846
2000.286459,1000,4706.588437
1895.067419,1000,4709.104193
1932.665417,1000,4727.455983
953.437001,1000,4730.093369
1545.509429,1000,4748.352289
2186.572567,1000,4750.946768
1369.033312,1000,4769.603533
896.407724,1000,4772.180054
1308.727996,1000,4790.660444
1914.945528,1000,4816.806981
1458.543805,1000,4835.061102
1604.249688,1000,4837.580082
2244.631326,1000,4855.856225
1628.167756,1000,4858.402221
1530.471801,1000,4876.815999
1874.295656,1000,4879.337619
1218.999794,1000,4897.857571
1938.931543,1000,4900.34987
2279.093486,1000,4918.631006
1871.704351,1000,4921.171255
1874.049822,1000,4939.552837
1170.513576,1000,4942.075792
1555.886894,1000,4946.385109
1951.808025,1000,4964.697899
1921.85195,1000,4967.260942
1428.961211,1000,4985.525007
1654.801711,1000,4988.034933
2225.765179,1000,5006.294289
1344.352068,1000,5008.823552
934.483725,1000,5027.298157
1244.833101,1000,5029.867557
1560.297948,1000,5048.188453
1952.646699,1000,5050.689984
1603.210591,1000,5068.907481
1485.593937,1000,5095.745185
1706.654227,1000,5114.177831
1905.966418,1000,5116.71786
1858.423336,1000,5135.044363
962.853274,1000,5137.646523
1331.972746,1000,5155.914382
1423.300358,1000,5158.40785
1882.179532,1000,5176.807977
1946.191595,1000,5179.364627
1443.223735,1000,5197.54535
1925.070261,1000,5200.103897
1909.001548,1000,5218.385721
2263.191266,1000,5220.897964
1697.38423,1000,5240.994302
1966.191945,1000,5243.549491
1820.986542,1000,5261.797633
1919.097138,1000,5264.288425
1964.428556,1000,5282.667113
1884.625478,1000,5285.20999
1908.029604,1000,5303.592748
2277.246482,1000,5306.090235
1371.15436,1000,5324.323632
1091.943723,1000,5326.844664
1424.453884,1000,5345.019935
1411.258947,1000,5347.550812
1668.112578,1000,5389.812771
1986.847221,1000,5392.324282
1702.839682,1000,5410.382288
1496.732107,1000,5412.880281
1834.880193,1000,5415.383511
1924.162609,1000,5433.573909
973.763587,1000,5436.17389
1388.812364,1000,5454.358981
1789.798392,1000,5456.872123
1913.485483,1000,5475.102527
1847.045814,1000,5477.617799
960.622979,1000,5495.868152
