#{"t_start": 1650954391.129334, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
825.544648,1000,135.536496
850.813929,1000,284.563992
974.628012,1000,429.157787
902.241859,1000,577.956139
873.823923,1000,721.795346
925.272508,1000,870.249117
925.150946,1000,1013.564667
906.569736,1000,1161.975262
886.925161,1000,1303.005919
993.477832,1000,1465.618129
1256.344808,1000,1609.07965
1059.474034,1000,1754.486647
913.08912,1000,1896.511538
1706.708171,1000,2041.404211
912.995227,1000,2183.496858
1082.303972,1000,2328.174195
1822.39644,1000,2470.83585
1163.430115,1000,2615.595314
1299.665259,1000,2756.414235
1850.763788,1000,2919.215242
1891.719559,1000,3061.285521
973.419435,1000,3210.019112
1762.195818,1000,3351.280401
1785.508318,1000,3497.244539
1441.447126,1000,3639.377152
1831.054677,1000,3785.619721
931.432254,1000,3928.7337
1507.602201,1000,4075.289885
2265.90148,1000,4232.80965
1614.265755,1000,4378.268543
2395.798093,1000,4519.558782
1531.221922,1000,4664.730119
2128.431507,1000,4806.169935
2086.421421,1000,4950.550576
1589.203959,1000,5091.057744
1568.579619,1000,5236.600642
1752.786312,1000,5377.808922
1775.055337,1000,5521.926706
2475.623468,1000,5678.58967
1655.032413,1000,5823.176096
1643.015743,1000,5963.649108
1537.13213,1000,6107.73868
1034.600548,1000,6248.43487
2280.189902,1000,6392.692654
2472.425617,1000,6533.61854
2063.728563,1000,6676.869628
1144.374475,1000,6816.716804
1102.917884,1000,6960.968397
1239.432702,1000,7117.635994
2669.044866,1000,7261.435071
1657.694979,1000,7401.649285
3041.722619,1000,7544.83096
2775.714153,1000,7684.59881
1983.298535,1000,7829.082467
1778.677188,1000,7968.486586
2502.139229,1000,8111.89157
825.790019,1000,8252.261926
1521.207831,1000,8414.117489
2547.612742,1000,8554.255331
2966.842671,1000,8698.046449
2167.686006,1000,8838.140321
2557.488458,1000,8981.219391
2559.321832,1000,9121.567929
3120.497397,1000,9264.19717
3456.903833,1000,9404.358564
2440.329225,1000,9546.910926
3844.259764,1000,9686.49508
2402.20935,1000,9845.971742
1948.981512,1000,9987.031181
2206.98835,1000,10129.856693
1905.191616,1000,10269.835897
3235.624446,1000,10412.798999
3056.560239,1000,10552.521949
1934.285945,1000,10695.848244
2511.656818,1000,10836.07264
1533.483648,1000,10980.015558
3847.737754,1000,11120.885348
2674.386971,1000,11278.917456
3808.904878,1000,11418.645068
2368.150599,1000,11561.762819
2609.849554,1000,11701.735688
3865.006318,1000,11845.137532
2076.602213,1000,11986.006588
2630.37348,1000,12130.888953
2752.462252,1000,12270.911992
3747.996553,1000,12413.167229
3499.279414,1000,12569.230728
3103.083127,1000,12714.014954
3353.200955,1000,12853.990722
1443.658931,1000,12997.572203
2377.601941,1000,13135.94489
1510.201763,1000,13279.423087
4011.869796,1000,13418.873413
2440.520017,1000,13562.319959
3249.990511,1000,13702.746184
3534.321534,1000,13845.481286
1933.622081,1000,14001.645036
1926.593265,1000,14144.715353
1657.429731,1000,14285.018327
3947.721034,1000,14428.045747
3367.294583,1000,14568.057538
4083.335313,1000,14710.378062
2823.705318,1000,14850.142176
2808.712278,1000,14992.130863
3018.850548,1000,15132.507759
2440.225639,1000,15275.311531
3306.887266,1000,15431.081707
2638.038489,1000,15574.446557
2333.078216,848,15714.16346
2273.231562,1000,15856.049167
1995.113937,1000,15996.322165
2040.851148,1000,16138.704349
2717.394662,1000,16279.410359
4057.119786,1000,16422.070249
1924.814634,1000,16561.598109
3329.928627,1000,16721.015886
2873.258284,1000,16861.717379
3992.217288,1000,17005.524289
2494.846654,1000,17144.96005
1517.065897,1000,17289.088281
3.105674
1108.063075,1000,1522.059667
890.497167,1000,1524.796089
914.92104,1000,1543.732095
986.238194,1000,1546.434536
1429.767191,1000,1565.562373
948.539163,1000,1568.286389
918.820666,1000,1587.247801
1446.328353,1000,1589.981297
889.621664,1000,1610.783901
892.25368,1000,1613.470289
1445.74534,1000,1632.339015
931.077774,1000,1635.090016
893.416264,1000,1653.802918
1483.54797,1000,1656.444359
922.893921,1000,1675.176682
932.484583,1000,1677.918107
833.211294,1000,1696.536401
929.733211,1000,1699.22551
915.379683,1000,1718.03049
818.401143,1000,1720.701401
1094.785354,1000,1739.219574
905.705553,1000,1767.851318
894.287005,1000,1786.77581
1001.230199,1000,1789.448181
1220.53334,1000,1808.506904
1461.957749,1000,1811.161592
1243.296085,1000,1829.832671
922.49677,1000,1832.458982
936.239175,1000,1851.207014
842.035902,1000,1853.862301
1015.796488,1000,1872.537776
919.707892,1000,1875.361298
1274.935907,1000,1893.801073
1436.344727,1000,1898.180927
998.121645,1000,1916.996719
1625.391588,1000,1919.57516
1050.216017,1000,1938.388702
947.65956,1000,1941.088592
1151.549497,1000,1960.087231
1075.985743,1000,1962.743289
897.696877,1000,1981.484864
930.869279,1000,1984.100785
1314.687436,1000,1986.684405
780.406032,1000,2005.244774
833.618868,1000,2007.840383
1472.397874,1000,2026.45691
1334.588341,1000,2054.811607
1344.833712,1000,2073.44909
941.515084,1000,2076.085095
1053.04944,1000,2094.957413
940.344576,1000,2097.656823
985.923543,1000,2116.412143
899.062253,1000,2119.105933
938.649559,1000,2137.783682
1080.650217,1000,2140.424319
1626.69,1000,2159.292842
1036.40993,1000,2161.898577
1119.571674,1000,2180.764088
1455.403323,1000,2185.157182
831.563365,1000,2203.703139
1500.739663,1000,2206.32019
1022.962447,1000,2225.050488
1727.605099,1000,2227.703853
1105.234067,1000,2246.462225
1693.66605,1000,2249.074071
1162.72923,1000,2267.92307
1433.529044,1000,2270.496292
1104.375606,1000,2289.194656
1238.038774,1000,2291.794338
1460.51424,1000,2310.427694
926.461222,1000,2313.118326
1177.400345,1000,2357.668915
1725.451814,1000,2360.299131
1716.584096,1000,2379.007105
854.774491,1000,2381.68816
1746.761567,1000,2400.552589
1495.621464,1000,2403.10287
878.904211,1000,2422.132244
1629.781468,1000,2424.73875
1123.368093,1000,2443.895463
949.825803,1000,2446.528241
938.691011,1000,2465.547869
898.670391,1000,2468.221234
897.554423,1000,2488.467083
1266.438838,1000,2491.128462
1676.627045,1000,2493.676193
1688.483807,1000,2512.420492
825.831386,1000,2514.994172
884.252761,1000,2533.624005
1647.546598,1000,2536.233393
1653.882706,1000,2554.658444
940.470891,1000,2557.328013
1199.79948,1000,2576.117904
868.061748,1000,2578.860821
1846.920237,1000,2597.465255
1549.42389,1000,2600.136474
1639.621005,1000,2644.654364
1034.357684,1000,2647.270047
948.522183,1000,2665.905854
1613.177011,1000,2668.573148
975.020418,1000,2687.084251
1178.603574,1000,2689.732802
1521.110141,1000,2708.429597
1543.605844,1000,2710.963661
1870.397644,1000,2729.824718
993.914748,1000,2732.562647
1589.204315,1000,2751.196771
1680.468116,1000,2753.759529
1183.72488,1000,2774.356223
1234.966711,1000,2776.892729
892.196572,1000,2795.789065
994.796895,1000,2798.441625
948.331466,1000,2817.424463
1838.348644,1000,2819.988177
1315.92778,1000,2838.887167
1627.150001,1000,2841.527114
969.034989,1000,2860.381697
1708.884141,1000,2862.983084
1713.615516,1000,2881.958912
1046.799181,1000,2884.714684
1013.895344,1000,2903.456795
1660.006228,1000,2932.756541
928.5817,1000,2951.753787
1010.085756,1000,2954.429014
1311.883532,1000,2973.139912
1019.454852,1000,2975.785765
1272.844481,1000,2978.405766
876.22237,1000,2997.294308
1588.636321,1000,2999.854362
1204.711636,1000,3018.599344
1584.767364,1000,3021.178427
1291.908389,1000,3039.886502
1004.707908,1000,3042.494156
1899.486862,1000,3062.982797
890.650118,1000,3065.650255
1126.023626,1000,3084.534731
1308.608831,1000,3087.224765
1025.698745,1000,3105.914173
1703.393058,1000,3108.491344
934.400275,1000,3127.374936
947.820998,1000,3130.029199
928.500842,1000,3148.943996
1946.065755,1000,3151.610124
1346.144897,1000,3170.588968
879.92611,1000,3173.252933
989.647055,1000,3192.351667
913.862916,1000,3222.151267
1787.00582,1000,3241.03587
1672.488153,1000,3243.559022
1088.693166,1000,3262.429741
1382.067496,1000,3265.141215
787.671761,1000,3284.007791
1341.541151,1000,3286.663858
975.227252,1000,3305.496662
1704.346813,1000,3308.172603
1803.145667,1000,3326.966057
1780.453551,1000,3329.53606
940.425369,1000,3348.652635
1761.732529,1000,3353.004
1465.395821,1000,3371.774829
1646.055737,1000,3374.383775
945.637636,1000,3393.242728
1670.235185,1000,3395.927747
1684.253257,1000,3414.759313
1062.148434,1000,3417.414606
2016.325484,1000,3436.253273
1222.78001,1000,3438.881396
1160.113864,1000,3457.772287
1782.033259,1000,3460.400543
1315.894828,1000,3463.067489
934.079407,1000,3481.878262
886.434237,1000,3510.398741
925.071431,1000,3529.179274
1087.175938,1000,3531.771899
1356.232766,1000,3550.64946
1786.327373,1000,3553.247161
1619.091883,1000,3572.201079
1761.32436,1000,3574.821873
2037.757181,1000,3593.606106
1000.709709,1000,3596.309034
1035.01186,1000,3615.28269
2061.571503,1000,3617.852617
1827.519216,1000,3636.73986
1043.984632,1000,3641.170162
926.521101,1000,3660.253774
1291.066352,1000,3662.885774
1026.9906,1000,3681.910385
915.073305,1000,3684.55398
967.059757,1000,3703.45503
1830.33693,1000,3706.018514
1307.271518,1000,3724.785044
1098.102264,1000,3727.417243
1068.058067,1000,3746.312937
1822.456102,1000,3748.902831
880.549638,1000,3767.691032
2009.611632,1000,3770.215119
1051.069746,1000,3814.6494
1029.188474,1000,3817.235573
866.661685,1000,3836.041477
1822.212578,1000,3838.617876
942.477744,1000,3857.50078
984.287181,1000,3860.159359
1731.995065,1000,3878.999758
956.306699,1000,3881.612219
1821.265502,1000,3902.107761
1394.849291,1000,3904.664407
1810.176806,1000,3923.489583
2066.495774,1000,3926.055755
1058.441189,1000,3946.568464
1812.779977,1000,3949.155882
2103.262579,1000,3968.016806
978.700476,1000,3970.737347
1354.105878,1000,3973.358184
2107.936064,1000,3992.15285
1085.832031,1000,3994.703314
2098.451765,1000,4013.404656
974.05616,1000,4016.056258
1007.60749,1000,4034.804427
1418.112187,1000,4037.425122
986.377858,1000,4056.902897
980.621072,1000,4059.571215
1207.302069,1000,4104.888655
1167.393309,1000,4107.453531
1783.253629,1000,4126.322059
1832.359296,1000,4128.893887
1855.170044,1000,4147.622139
1127.170912,1000,4150.238721
1723.904723,1000,4168.993564
1168.114152,1000,4171.550174
1809.225005,1000,4190.192893
926.959483,1000,4192.794526
1792.005105,1000,4211.514012
1868.944096,1000,4214.100118
1842.474771,1000,4234.487653
906.824087,1000,4237.056386
1838.26565,1000,4255.9439
1127.840158,1000,4258.507101
1893.728949,1000,4277.27931
1800.428976,1000,4279.846996
1411.282104,1000,4298.451113
1236.831381,1000,4301.005209
1853.397227,1000,4319.843237
1315.438631,1000,4322.376165
1193.306138,1000,4340.924292
1869.373645,1000,4343.494362
1311.816152,1000,4362.197635
1841.454338,1000,4391.439225
2036.392832,1000,4410.120278
1814.552039,1000,4412.75475
826.77445,1000,4431.601307
1857.035482,1000,4434.197106
1210.374007,1000,4452.866812
1240.165776,1000,4455.445035
931.345459,1000,4474.165005
169.023089,380,4475.135087
737.092729,1000,4477.722262
934.424411,1000,4496.459599
1399.579698,1000,4499.072701
1111.507469,1000,4517.940972
877.16483,1000,4522.235695
1264.778222,1000,4540.99881
932.272797,1000,4543.595721
1258.666575,1000,4562.392566
938.850677,1000,4565.054359
1162.666669,1000,4583.636787
1911.791782,1000,4586.190002
1259.18259,1000,4604.987533
2005.234062,1000,4607.500001
1898.713585,1000,4626.137249
1343.135311,1000,4628.665819
1444.924187,1000,4647.330938
1930.985097,1000,4676.549495
1048.10854,1000,4679.187118
2142.591137,1000,4697.973062
1346.991838,1000,4700.49318
1470.666909,1000,4719.09397
1218.648068,1000,4721.761512
917.604208,1000,4740.636086
1909.813874,1000,4743.19778
1307.057472,1000,4761.936227
925.691381,1000,4764.495273
1321.462007,1000,4783.320209
1596.087605,1000,4785.861714
2245.143043,1000,4804.552533
1423.963804,1000,4808.882837
1429.147134,1000,4827.522376
947.759266,1000,4830.141009
1048.865423,1000,4848.892703
2154.931966,1000,4851.414062
960.319502,1000,4870.072163
1760.259032,1000,4872.699708
1457.255405,1000,4891.317953
1122.204142,1000,4893.919119
1855.263882,1000,4912.639265
1826.143493,1000,4915.236832
1884.369315,1000,4933.78049
2229.887112,1000,4962.159724
1362.488235,1000,4980.856534
1425.761733,1000,4983.383742
1548.65118,1000,5002.088372
1459.072689,1000,5004.635635
2237.400577,1000,5023.382297
1565.613002,1000,5025.931447
1325.487037,1000,5044.875339
2203.270185,1000,5047.374824
1443.754754,1000,5066.073071
1403.282351,1000,5068.619359
1955.298392,1000,5086.903184
1397.516184,1000,5089.43911
938.611992,1000,5109.85546
1393.516132,1000,5112.436046
1972.076243,1000,5131.127488
1621.655002,1000,5133.693576
1979.419933,1000,5152.422743
964.790731,1000,5154.992573
1658.796783,1000,5157.533354
1382.914143,1000,5176.466509
1505.270495,1000,5179.038931
1939.198035,1000,5197.863958
1763.538387,1000,5200.382853
1536.683699,1000,5219.300653
1425.365592,1000,5248.243319
1318.845015,1000,5266.86391
960.857248,1000,5269.430202
1261.669199,1000,5288.175381
1481.289675,1000,5290.783823
1957.593987,1000,5309.604492
1910.259276,1000,5312.118257
959.772738,1000,5330.980644
1631.527446,1000,5333.533219
1628.845382,1000,5352.217089
923.807558,1000,5354.800327
994.168245,1000,5373.621936
1972.022845,1000,5376.173356
1664.166099,1000,5396.652043
1999.139352,1000,5399.209363
1880.600592,1000,5418.008613
1939.104883,1000,5420.517248
1929.483174,1000,5439.216917
954.73761,1000,5441.804705
1739.299012,1000,5460.333525
1926.969741,1000,5462.851237
2255.903918,1000,5481.608479
2014.444626,1000,5484.148543
1170.221093,1000,5502.758276
1361.364479,1000,5505.313656
1029.865012,1000,5549.454046
1923.104419,1000,5551.978703
1878.872163,1000,5570.60847
591.237258,1000,5573.132503
1363.698802,1000,5591.978409
863.937839,1000,5594.560456
1818.680909,1000,5613.249906
1015.611221,1000,5615.810136
796.270277,1000,5634.528544
1940.089715,1000,5637.045377
1894.431984,1000,5655.828387
2016.449072,1000,5658.358368
2027.628462,1000,5660.869355
1157.336217,1000,5681.250279
1663.155853,1000,5683.8407
1882.234771,1000,5702.551483
1479.097812,1000,5705.077828
1948.344372,1000,5723.738791
309.10398,422,5724.803189
36.322378,65,5724.967106
1909.402918,1000,5743.57345
1621.667843,1000,5746.095298
1717.830024,1000,5764.809961
1013.741544,1000,5767.388413
1407.813461,1000,5786.067656
1447.970193,1000,5788.598813
2000.13244,1000,5807.266866
1506.230901,1000,5835.986682
2030.45761,1000,5854.721482
1156.054027,1000,5857.280755
1449.471103,1000,5875.975843
1381.400054,1000,5878.496767
1941.946762,1000,5897.108788
1441.073894,1000,5899.625878
1123.593605,1000,5902.148614
194.657059,238,5919.07221
1870.094618,1000,5921.567418
1947.662534,1000,5940.188587
187.727397,423,5941.251198
1812.133431,1000,5943.775617
1846.41483,1000,5964.144397
925.379334,1000,5966.725575
2030.356219,1000,5985.658298
1901.944968,1000,5988.16157
1834.675573,1000,6006.925781
1443.290121,1000,6009.430753
1906.142024,1000,6028.094467
1327.166006,1000,6030.617896
2407.673968,1000,6049.249935
1336.172332,1000,6051.77051
2242.410607,1000,6070.465971
1805.615404,1000,6072.969301
2113.377408,1000,6091.622496
210.143308,241,6092.22645
995.39617,1000,6120.445682
2264.858218,1000,6139.396744
2055.220525,1000,6141.906074
2218.17234,1000,6160.609676
1843.985652,1000,6163.112841
2004.960054,1000,6181.67793
1364.326211,1000,6184.177312
1898.824525,1000,6202.801723
1937.952621,1000,6205.307141
2170.137435,1000,6223.951835
1997.387846,1000,6226.476311
1200.920838,1000,6245.240516
2355.426502,1000,6249.523848
1898.309869,1000,6268.204166
734.869897,1000,6270.734784
1940.017469,1000,6289.619388
2214.388597,1000,6292.139281
1882.730988,1000,6310.927959
2142.876812,1000,6313.439147
1463.928711,1000,6332.209192
1958.531059,1000,6334.717281
2120.618295,1000,6337.223648
1349.12703,1000,6356.078563
943.940331,1000,6358.582826
2389.263772,1000,6377.170767
1085.035842,1000,6405.242643
1231.872288,1000,6424.037863
2127.54391,1000,6426.546861
2349.33711,1000,6445.370924
2000.017749,1000,6447.898404
2101.870928,1000,6466.451482
1517.496176,1000,6468.962955
1522.308098,1000,6487.771247
2288.601449,1000,6490.316868
1882.765976,1000,6509.026655
1430.090779,1000,6511.531999
2085.198338,1000,6530.354151
1912.552436,1000,6534.713072
1505.187572,1000,6553.31094
1391.418719,1000,6555.825824
2311.741982,1000,6574.424247
2198.22123,1000,6576.993157
1977.395421,1000,6595.499476
1291.46257,1000,6598.017959
2027.091354,1000,6616.514608
812.119406,1000,6619.092884
2071.552892,1000,6637.518744
2306.16694,1000,6640.049227
2053.161573,1000,6658.794307
2159.247056,1000,6661.293156
697.816133,1000,6705.604604
2404.651768,1000,6708.110965
1242.514804,1000,6726.750785
2452.636904,1000,6729.290311
2338.108621,1000,6747.86937
2059.689235,1000,6750.375985
1542.038451,1000,6768.837676
2158.976913,1000,6771.339808
2310.671332,1000,6789.898721
1556.393529,1000,6792.400451
1403.014553,1000,6810.991621
1445.793004,1000,6813.530153
2130.205854,1000,6817.786209
1964.683286,1000,6836.448547
2395.062866,1000,6838.947636
1048.93466,1000,6857.555375
2100.6285,1000,6860.043653
1304.565649,1000,6878.627772
2029.114606,1000,6881.138196
1878.077973,1000,6899.719405
1896.126013,1000,6902.244529
1224.701979,1000,6920.930461
1531.324017,1000,6923.438643
1538.881717,1000,6942.205105
2134.963223,1000,6944.735999
2066.845954,1000,6989.895634
1480.641197,1000,6992.401457
950.804368,1000,7011.18774
2051.503117,979,7013.630569
813.814338,1000,7032.343303
1443.124806,1000,7034.84805
2423.560865,1000,7053.473198
2500.145342,1000,7055.981173
120.645046,146,7056.348568
1540.773434,1000,7075.019332
1582.045459,1000,7077.519698
948.261336,1000,7096.285683
2451.137623,1000,7098.775832
2348.928514,1000,7119.032153
2083.945356,1000,7121.539741
2220.476113,1000,7140.293205
1906.923487,1000,7142.803915
1920.673478,1000,7161.428508
2390.858009,1000,7163.969499
2354.639659,1000,7182.50517
2207.467496,1000,7185.029447
1324.520673,1000,7203.811547
1537.909672,1000,7206.307385
2253.771243,1000,7225.579131
1919.861731,1000,7228.077782
2188.753062,1000,7246.916149
2526.015833,1000,7273.81224
2478.865314,1000,7292.440048
2528.091735,1000,7294.932521
2327.71815,1000,7313.632133
1142.259746,1000,7316.157481
2319.550201,1000,7334.713085
2043.78555,1000,7337.208047
2449.921017,1000,7355.956429
2323.506864,1000,7358.446102
2439.584759,1000,7377.338508
1483.209912,1000,7379.831456
263.964661,467,7380.991784
1935.641892,1000,7399.991194
1371.82985,1000,7404.206174
1479.207537,1000,7423.240332
76.063576,69,7423.413535
2651.791257,1000,7425.896458
2391.821281,1000,7444.608429
2515.381974,1000,7447.101179
2381.664864,1000,7465.819992
2029.331692,1000,7468.310186
1399.857278,1000,7487.216314
2904.834352,1000,7489.705444
2585.859736,1000,7508.350593
2187.997659,1000,7510.859593
2396.147121,1000,7529.395479
2524.094285,1000,7555.944951
2603.277012,1000,7574.928002
2690.705038,1000,7577.419262
2634.27269,1000,7595.987961
2624.654166,1000,7598.470345
1973.79132,1000,7617.057228
