#{"t_start": 1650999143.5486324, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
902.878218,1000,128.339344
840.64968,1000,271.931613
1655.786291,1000,410.216305
964.372714,1000,553.283478
1241.669958,1000,691.0303
33.896724,1000,830.972044
923.52791,1000,969.937832
590.200437,1000,1112.575111
888.125096,1000,1250.946739
810.942377,1000,1410.119845
932.745908,1000,1550.084457
914.495498,1000,1694.473853
956.480695,1000,1831.112479
959.410151,1000,1974.255188
747.206082,1000,2112.754328
614.191586,1000,2256.200346
2909.642794,1000,2393.588401
918.511,1000,2534.734515
1999.158846,1000,2672.172397
2618.086124,1000,2829.954479
957.426295,1000,2970.910841
740.77109,1000,3114.914789
3135.467282,1000,3254.132227
2707.433398,1000,3395.752338
3143.976016,1000,3538.145528
2116.071367,1000,3680.756637
3349.684756,1000,3819.870542
874.394519,1000,3966.353244
3343.547068,1000,4121.98024
2293.306496,1000,4266.357152
2439.362884,1000,4407.680132
820.907314,1000,4553.983473
3344.708426,1000,4692.892735
2671.045227,1000,4836.963479
3040.52479,1000,4978.856923
963.480122,1000,5123.399139
3461.769182,1000,5265.411091
3515.917447,1000,5408.729829
2784.122364,1000,5567.409236
3343.383111,1000,5711.670504
2134.205024,1000,5853.37006
805.480179,1000,6000.258829
846.007054,1000,6141.919017
2845.646022,1000,6285.818846
3438.264551,1000,6426.502289
2304.657399,1000,6570.574257
760.522316,1000,6711.487523
728.907049,1000,6857.588497
1387.158659,1000,7012.766957
2137.115755,1000,7155.991985
599.010752,1000,7296.771028
3625.333265,1000,11736.815289
3437.751935,1000,11875.576099
2933.459258,1000,12016.036922
1597.477832,1000,12154.826507
1417.207604,1000,12296.06837
3913.190668,1000,12434.041949
2383.499469,1000,12591.013751
2678.127752,1000,12729.479843
1776.749206,1000,12870.890882
2946.711306,1000,13009.230466
3645.586836,1000,13149.588317
915.007964,1000,13288.460065
3594.282796,1000,13428.959548
735.499413,1000,13567.920314
2708.863725,1000,13709.426371
967.761577,1000,13849.205575
2816.781729,1000,14007.3234
2144.922993,1000,14146.526685
2366.449327,1000,14287.800057
2344.265069,1000,14426.10873
3318.016779,1000,14569.759523
3577.603391,1000,14709.692746
1275.706392,1000,14852.023763
2756.731429,1000,14990.804757
2840.265325,1000,15137.285417
2195.262554,1000,15277.174029
3414.548591,1000,15435.541611
3393.26525,1000,15575.249729
3285.022332,1000,15717.634529
3449.875823,1000,15858.058721
3008.534015,1000,16000.615803
2156.204615,1000,16140.895288
2941.111031,1000,16283.501209
3093.702125,1000,16424.372164
3132.998538,1000,16567.310372
3340.832892,1000,16723.893826
3616.778368,1000,16868.117855
3416.916822,1000,17007.995039
846.339099,1000,17151.860968
1985.959214,1000,17290.835168
2102.85506,1000,17435.503912
3909.682408,1000,17575.763508
1389.063328,1000,17853.443591
1077.019095,1000,17993.966392
3349.866674,1000,18135.853999
938.915315,1000,18292.42863
1962.631137,1000,18437.58137
2087.029815,1000,18579.525743
1227.958461,1000,18722.823641
3485.924364,1000,18862.658646
2175.744954,1000,19004.230313
2963.764217,1000,19145.76557
2083.617892,1000,19288.472431
3357.456803,1000,19429.071828
1308.973134,1000,19573.822577
3433.272327,1000,19732.529359
1769.549421,1000,19875.967224
3692.679216,1000,20016.62156
1470.331711,1000,20159.43358
2031.0239,1000,20299.978637
3334.237511,1000,20442.156108
4137.177869,1000,20582.516438
2669.705443,1000,20725.425754
1509.029677,1000,20865.561594
3661.917064,1000,21025.22312
1146.190504,1000,21166.228347
.478559
-93.434787,50,152.606717
-67.041225,50,152.741624
-27.985977,31,152.821205
-965.854457,1000,170.996613
-25.499521,21,171.050058
-22.385073,38,171.146331
-17.827024,26,171.211776
-43.903269,38,171.308308
-18.470821,17,171.353582
-10.405497,29,171.429066
-33.082122,45,171.545742
-33.977035,31,171.627044
-187.167586,194,172.128275
-123.16966,154,172.526351
-30.130735,38,172.624916
-21.400221,12,172.657742
-31.853154,43,172.768529
-41.911872,62,172.925648
-9.269263,9,172.949178
-25.191585,48,173.072733
-80.876967,149,173.454813
-174.553351,136,173.802892
-100.698474,68,173.97914
